time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,-14.570243,0.0,0.0,0.92045947,0.0,-0.56077842,1.0669329
0.02,0.0,0.0,-20.814159,0.0,0.0,1.2862553,0.0,-0.82957878,1.0660034
0.04,0.0,0.0,-22.884573,0.0,0.0,1.4107156,0.0,-0.9164829,1.0660034
0.06,0.0,0.0,-22.492884,0.0,0.0,1.3843782,0.0,-0.90206356,1.0635566
0.08,0.0,0.0,-21.876505,0.0,0.0,1.3461529,0.0,-0.87719658,1.0635566
0.1,0.0,0.0,-23.67955,0.0,0.0,1.4563484,0.0,-0.95240441,1.0612774
0.12,0.0,0.0,-24.72863,0.0,0.0,1.5178441,0.0,-0.99780652,1.0612774
0.14,0.0,0.0,-28.025463,0.0,0.0,1.7031564,0.0,-1.1453388,1.0612057
0.16,0.0,0.0,-26.223911,0.0,0.0,1.5920273,0.0,-1.0716539,1.0612057
0.18,0.0,0.0,-22.535053,0.0,0.0,1.36731,0.0,-0.91851679,1.0648524
0.2,0.0,0.0,-20.29154,0.0,0.0,1.2461552,0.0,-0.81466743,1.0648524
0.22,0.0,0.0,-21.346056,0.0,0.0,1.3193982,0.0,-0.85214373,1.0717008
0.24,0.0,0.0,-21.047739,0.0,0.0,1.3061653,0.0,-0.83624859,1.0717008
0.26,0.0,0.0,-18.453928,0.0,0.0,1.1558471,0.0,-0.72333147,1.0787946
0.28,0.0,0.0,-14.261473,0.0,0.0,0.91398665,0.0,-0.54002875,1.0787946
0.3,0.0,0.0,-7.27211,0.0,0.0,0.51863391,0.0,-0.22932464,1.084691
0.32,0.0,0.0,-6.7818379,0.0,0.0,0.49614185,0.0,-0.20391745,1.084691
0.34,0.0,0.0,-10.337544,0.0,0.0,0.7010408,0.0,-0.35941783,1.0886912
0.36,0.0,0.0,-15.411551,0.0,0.0,0.9919701,0.0,-0.58237264,1.0886912
0.38,0.0,0.0,-21.419827,0.0,0.0,1.3353313,0.0,-0.84729222,1.0895672
0.4,0.0,0.0,-22.835917,0.0,0.0,1.4158282,0.0,-0.9100878,1.0895672
0.42,0.0,0.0,-22.100502,0.0,0.0,1.3647229,0.0,-0.88363719,1.0886015
0.44,0.0,0.0,-22.257189,0.0,0.0,1.3654511,0.0,-0.89587666,1.0886015
0.46,0.0,0.0,-23.96777,0.0,0.0,1.4641736,0.0,-0.9706263,1.0864652
0.48,0.0,0.0,-30.473391,0.0,0.0,1.8414028,0.0,-1.2540536,1.0864652
0.5,0.0,0.0,-40.116714,0.0,0.0,2.3948513,0.0,-1.6778554,1.0837274
0.52,0.0,0.0,-44.594326,0.0,0.0,2.6538476,0.0,-1.8733717,1.0837274
0.54,0.0,0.0,-51.76289,0.0,0.0,3.0673005,0.0,-2.1870305,1.080421
0.56,0.0,0.0,-60.746735,0.0,0.0,3.5814067,0.0,-2.5828048,1.080421
0.58,0.0,0.0,-70.236069,0.0,0.0,4.1228271,0.0,-3.0017161,1.0788615
0.6,0.0,0.0,-74.098885,0.0,0.0,4.3393016,0.0,-3.1752391,1.0788615
0.62,0.0,0.0,-67.745926,0.0,0.0,3.9686077,0.0,-2.9007862,1.0775183
0.64,0.0,0.0,-59.997372,0.0,0.0,3.5237324,0.0,-2.5605862,1.0775183
0.66,0.0,0.0,-56.051792,0.0,0.0,3.3030741,0.0,-2.3828923,1.0778884
0.68,0.0,0.0,-61.405231,0.0,0.0,3.6172259,0.0,-2.6133349,1.0778884
0.7,0.0,0.0,-65.739594,0.0,0.0,3.8755974,0.0,-2.797357,1.0793836
0.72,0.0,0.0,-68.193718,0.0,0.0,4.0244846,0.0,-2.9000597,1.0793836
0.74,0.0,0.0,-62.302208,0.0,0.0,3.6851249,0.0,-2.6421142,1.0824354
0.76,0.0,0.0,-61.429668,0.0,0.0,3.63973,0.0,-2.60044,1.0824354
0.78,0.0,0.0,-61.666512,0.0,0.0,3.6583755,0.0,-2.6071312,1.0856433
0.8,0.0,0.0,-63.549057,0.0,0.0,3.7616079,0.0,-2.6925061,1.0856433
0.82,0.0,0.0,-63.907131,0.0,0.0,3.7799766,0.0,-2.7098248,1.08864
0.84,0.0,0.0,-65.480164,0.0,0.0,3.8745577,0.0,-2.7767122,1.08864
0.86,0.0,0.0,-69.685349,0.0,0.0,4.1137942,0.0,-2.962818,1.0921055
0.88,0.0,0.0,-74.062668,0.0,0.0,4.3608989,0.0,-3.1572727,1.0921055
0.9,0.0,0.0,-76.796425,0.0,0.0,4.5253407,0.0,-3.2721206,1.0942477
0.92,0.0,0.0,-86.558678,0.0,0.0,5.0896136,0.0,-3.698351,1.0942477
0.94,0.0,0.0,-89.997002,0.0,0.0,5.2747724,0.0,-3.8574969,1.0944756
0.96,0.0,0.0,-85.20993,0.0,0.0,4.9895723,0.0,-3.6542818,1.0944756
0.98,0.0,0.0,-85.558647,0.0,0.0,5.019981,0.0,-3.6626964,1.0921348
1.0,0.0,0.0,-92.375786,0.0,0.0,5.4157663,0.0,-3.9590574,1.0921348
1.02,0.0,0.0,-99.994514,0.0,0.0,5.872328,0.0,-4.2812349,1.087792
1.04,0.0,0.0,-99.081993,0.0,0.0,5.8174755,0.0,-4.2431051,1.087792
1.06,0.0,0.0,-85.742416,0.0,0.0,5.0306266,0.0,-3.6712307,1.0816591
1.08,0.0,0.0,-64.993675,0.0,0.0,3.828832,0.0,-2.7672456,1.0816591
1.1,0.0,0.0,-47.909046,0.0,0.0,2.8460001,0.0,-2.0187987,1.0766546
1.12,0.0,0.0,-37.002747,0.0,0.0,2.2300953,0.0,-1.5332117,1.0766546
1.14,0.0,0.0,-33.644447,0.0,0.0,2.0413167,0.0,-1.3828182,1.0728719
1.16,0.0,0.0,-35.665905,0.0,0.0,2.1551923,0.0,-1.4726772,1.0728719
1.18,0.0,0.0,-32.75716,0.0,0.0,1.9879803,0.0,-1.3444572,1.0704983
1.2,0.0,0.0,-25.29417,0.0,0.0,1.558111,0.0,-1.0170785,1.0704983
1.22,0.0,0.0,-18.973476,0.0,0.0,1.1921441,0.0,-0.74125949,1.0700048
1.24,0.0,0.0,-18.51932,0.0,0.0,1.1621012,0.0,-0.72388659,1.0700048
1.26,0.0,0.0,-19.318113,0.0,0.0,1.204353,0.0,-0.76182744,1.0742798
1.28,0.0,0.0,-18.316589,0.0,0.0,1.1489883,0.0,-0.71663958,1.0742798
1.3,0.0,0.0,-15.312037,0.0,0.0,0.98053437,0.0,-0.58208052,1.0804511
1.32,0.0,0.0,-13.27702,0.0,0.0,0.86406543,0.0,-0.49242462,1.0804511
1.34,0.0,0.0,-11.327863,0.0,0.0,0.75056458,0.0,-0.40804135,1.0862663
1.36,0.0,0.0,-10.149563,0.0,0.0,0.6856228,0.0,-0.35446535,1.0862663
1.38,0.0,0.0,-10.242968,0.0,0.0,0.68978875,0.0,-0.35960067,1.0912324
1.4,0.0,0.0,-14.848442,0.0,0.0,0.95189442,0.0,-0.56350136,1.0912324
1.42,0.0,0.0,-17.268751,0.0,0.0,1.0870529,0.0,-0.67251487,1.0952516
1.44,0.0,0.0,-17.722172,0.0,0.0,1.1137447,0.0,-0.6920195,1.0952516
1.46,0.0,0.0,-17.405828,0.0,0.0,1.0992446,0.0,-0.67571695,1.1003761
1.48,0.0,0.0,-23.362345,0.0,0.0,1.4422624,0.0,-0.93666972,1.1003761
1.5,0.0,0.0,-25.909128,0.0,0.0,1.5884385,0.0,-1.0484126,1.1065127
