time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,5.0875869,0.0,0.0,-0.18794055,0.0,0.31218047,1.1137587
0.02,0.0,0.0,15.5874,0.0,0.0,-0.76948047,0.0,0.78834415,1.1145601
0.04,0.0,0.0,16.192867,0.0,0.0,-0.80277038,0.0,0.81578708,1.1145601
0.06,0.0,0.0,15.090833,0.0,0.0,-0.74544907,0.0,0.76267529,1.1147349
0.08,0.0,0.0,8.8847332,0.0,0.0,-0.40999223,0.0,0.47465039,1.1147349
0.1,0.0,0.0,-21.203098,0.0,0.0,1.3479226,0.0,-0.83026174,1.1149702
0.12,0.0,0.0,5.4019322,0.0,0.0,-0.21459767,0.0,0.3180246,1.1149702
0.14,0.0,0.0,15.614673,0.0,0.0,-0.77863299,0.0,0.7825297,1.116377
0.16,0.0,0.0,15.159128,0.0,0.0,-0.75434386,0.0,0.76110541,1.116377
0.18,0.0,0.0,12.861052,0.0,0.0,-0.6315548,0.0,0.65333291,1.1178606
0.2,0.0,0.0,6.7989063,0.0,0.0,-0.30130978,0.0,0.37417813,1.1178606
0.22,0.0,0.0,4.3205471,0.0,0.0,-0.16224468,0.0,0.26318157,1.1195204
0.24,0.0,0.0,-1.9951652,0.0,0.0,0.19924557,0.0,-0.014734383,1.1195204
0.26,0.0,0.0,-5.626184,0.0,0.0,0.40747715,0.0,-0.1745832,1.1215302
0.28,0.0,0.0,4.8293786,0.0,0.0,-0.19184899,0.0,0.28558659,1.1215302
0.3,0.0,0.0,6.9273877,0.0,0.0,-0.3053162,0.0,0.38271545,1.1232805
0.32,0.0,0.0,2.0909615,0.0,0.0,-0.022101629,0.0,0.17424129,1.1232805
0.34,0.0,0.0,8.3934717,0.0,0.0,-0.38037498,0.0,0.4537154,1.122436
0.36,0.0,0.0,13.212304,0.0,0.0,-0.64949997,0.0,0.67058571,1.122436
0.38,0.0,0.0,12.569979,0.0,0.0,-0.61403785,0.0,0.64136062,1.1211475
0.4,0.0,0.0,12.570027,0.0,0.0,-0.61361442,0.0,0.64171634,1.1211475
0.42,0.0,0.0,13.363998,0.0,0.0,-0.65837983,0.0,0.67708615,1.1198306
0.44,0.0,0.0,10.342042,0.0,0.0,-0.49642686,0.0,0.53582314,1.1198306
0.46,0.0,0.0,2.6295221,0.0,0.0,-0.077286473,0.0,0.18003725,1.115401
0.48,0.0,0.0,-13.306368,0.0,0.0,0.80283047,0.0,-0.54474092,1.115401
0.5,0.0,0.0,-24.922272,0.0,0.0,1.4503747,0.0,-1.0686358,1.1103902
0.52,0.0,0.0,-28.410484,0.0,0.0,1.6601945,0.0,-1.2152584,1.1103902
0.54,0.0,0.0,-14.981377,0.0,0.0,0.8987056,0.0,-0.6180538,1.1069463
0.56,0.0,0.0,1.8032777,0.0,0.0,-0.030976413,0.0,0.14330971,1.1069463
0.58,0.0,0.0,6.6194959,0.0,0.0,-0.28963077,0.0,0.36782062,1.104754
0.6,0.0,0.0,7.5074215,0.0,0.0,-0.34019744,0.0,0.40695178,1.104754
0.62,0.0,0.0,7.8610153,0.0,0.0,-0.3611871,0.0,0.42182553,1.1044219
0.64,0.0,0.0,9.0582447,0.0,0.0,-0.42690575,0.0,0.47649204,1.1044219
0.66,0.0,0.0,5.250917,0.0,0.0,-0.21705585,0.0,0.30304008,1.1037158
0.68,0.0,0.0,-2.7674408,0.0,0.0,0.23823542,0.0,-0.05267615,1.1037158
0.7,0.0,0.0,7.0411549,0.0,0.0,-0.3116953,0.0,0.38778516,1.1029999
0.72,0.0,0.0,11.509117,0.0,0.0,-0.55772706,0.0,0.59144517,1.1029999
0.74,0.0,0.0,11.749223,0.0,0.0,-0.57150944,0.0,0.60183056,1.1030061
0.76,0.0,0.0,13.391881,0.0,0.0,-0.66037186,0.0,0.67785938,1.1030061
0.78,0.0,0.0,14.055368,0.0,0.0,-0.69701447,0.0,0.70791688,1.1033912
0.8,0.0,0.0,13.478877,0.0,0.0,-0.66623368,0.0,0.68084206,1.1033912
0.82,0.0,0.0,12.57685,0.0,0.0,-0.61647867,0.0,0.63981794,1.1031132
