time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,-23.246641,0.0,0.0,1.4470488,0.0,-0.92178004,1.1106635
0.02,0.0,0.0,-26.639168,0.0,0.0,1.6371135,0.0,-1.0736807,1.111349
0.04,0.0,0.0,-27.908598,0.0,0.0,1.7041697,0.0,-1.133202,1.111349
0.06,0.0,0.0,-26.967075,0.0,0.0,1.6481774,0.0,-1.0929043,1.1112386
0.08,0.0,0.0,-28.364422,0.0,0.0,1.7267662,0.0,-1.1549201,1.1112386
0.1,0.0,0.0,-30.976694,0.0,0.0,1.8728437,0.0,-1.2718875,1.1098098
0.12,0.0,0.0,-31.511745,0.0,0.0,1.902224,0.0,-1.2962037,1.1098098
0.14,0.0,0.0,-28.005005,0.0,0.0,1.7020783,0.0,-1.1415772,1.1070526
0.16,0.0,0.0,-25.536877,0.0,0.0,1.5630389,0.0,-1.0314712,1.1070526
0.18,0.0,0.0,-25.563292,0.0,0.0,1.5658443,0.0,-1.031669,1.1054775
0.2,0.0,0.0,-22.146448,0.0,0.0,1.3724845,0.0,-0.87992393,1.1054775
0.22,0.0,0.0,-18.169035,0.0,0.0,1.1507882,0.0,-0.70094476,1.1034161
0.24,0.0,0.0,-15.012837,0.0,0.0,0.97484637,0.0,-0.55906969,1.1034161
0.26,0.0,0.0,-11.602117,0.0,0.0,0.7822164,0.0,-0.40751188,1.1018651
0.28,0.0,0.0,-9.2314043,0.0,0.0,0.65059788,0.0,-0.30067752,1.1018651
0.3,0.0,0.0,-9.8814592,0.0,0.0,0.6864341,0.0,-0.3304985,1.1000664
0.32,0.0,0.0,-13.882022,0.0,0.0,0.91110791,0.0,-0.50964799,1.1000664
0.34,0.0,0.0,-16.464169,0.0,0.0,1.0578846,0.0,-0.62400656,1.0983075
0.36,0.0,0.0,-17.322662,0.0,0.0,1.1056739,0.0,-0.66286262,1.0983075
0.38,0.0,0.0,-16.195604,0.0,0.0,1.0424762,0.0,-0.61254953,1.0974194
0.4,0.0,0.0,-16.010569,0.0,0.0,1.0337552,0.0,-0.60326307,1.0974194
0.42,0.0,0.0,-13.656458,0.0,0.0,0.8997143,0.0,-0.49953414,1.0966775
0.44,0.0,0.0,-14.293125,0.0,0.0,0.9367664,0.0,-0.52712277,1.0966775
0.46,0.0,0.0,-16.87891,0.0,0.0,1.0815812,0.0,-0.64329757,1.0952179
0.48,0.0,0.0,-21.189758,0.0,0.0,1.325579,0.0,-0.83493076,1.0952179
0.5,0.0,0.0,-25.931553,0.0,0.0,1.5948154,0.0,-1.0449705,1.0919592
0.52,0.0,0.0,-27.69529,0.0,0.0,1.6967257,0.0,-1.1219089,1.0919592
0.54,0.0,0.0,-24.283749,0.0,0.0,1.5007187,0.0,-0.97257023,1.0863231
0.56,0.0,0.0,-26.190386,0.0,0.0,1.6120623,0.0,-1.0546741,1.0863231
0.58,0.0,0.0,-31.516363,0.0,0.0,1.9210658,0.0,-1.285646,1.0802162
0.6,0.0,0.0,-31.296406,0.0,0.0,1.9053569,0.0,-1.2779747,1.0802162
0.62,0.0,0.0,-28.700937,0.0,0.0,1.7606904,0.0,-1.1609656,1.0756341
0.64,0.0,0.0,-27.888727,0.0,0.0,1.7178656,0.0,-1.1226281,1.0756341
0.66,0.0,0.0,-25.888546,0.0,0.0,1.6022561,0.0,-1.0353212,1.0729554
0.68,0.0,0.0,-23.306063,0.0,0.0,1.4613274,0.0,-0.91674342,1.0729554
0.7,0.0,0.0,-21.985331,0.0,0.0,1.3872182,0.0,-0.85730972,1.0715632
0.72,0.0,0.0,-22.583206,0.0,0.0,1.4214162,0.0,-0.88317963,1.0715632
0.74,0.0,0.0,-23.403702,0.0,0.0,1.4677178,0.0,-0.91938565,1.0726399
