time,s0,s1,s2,s3,s4,s5,s6,s7
0.0,0.0,0.0,-0.62213874,0.0,0.0,0.16799463,0.0,1.0921298
0.02,0.0,0.0,0.41909146,0.0,0.0,0.10741454,0.0,1.093774
0.04,0.0,0.0,2.1490591,0.0,0.0,0.0088653531,0.0,1.093774
0.06,0.0,0.0,4.0433736,0.0,0.0,-0.098711295,0.0,1.0959457
0.08,0.0,0.0,4.5117373,0.0,0.0,-0.12519865,0.0,1.0959457
0.1,0.0,0.0,5.1703658,0.0,0.0,-0.16424313,0.0,1.0993351
0.12,0.0,0.0,6.1700521,0.0,0.0,-0.22136135,0.0,1.0993351
0.14,0.0,0.0,6.3491898,0.0,0.0,-0.23014306,0.0,1.1029557
0.16,0.0,0.0,6.4537544,0.0,0.0,-0.23438601,0.0,1.1029557
0.18,0.0,0.0,6.8146625,0.0,0.0,-0.25334676,0.0,1.1067705
0.2,0.0,0.0,7.1872668,0.0,0.0,-0.27086472,0.0,1.1067705
0.22,0.0,0.0,7.2317309,0.0,0.0,-0.27226611,0.0,1.1085249
0.24,0.0,0.0,7.321147,0.0,0.0,-0.27741959,0.0,1.1085249
0.26,0.0,0.0,7.3968573,0.0,0.0,-0.2828606,0.0,1.1091855
0.28,0.0,0.0,7.1480684,0.0,0.0,-0.27062177,0.0,1.1091855
0.3,0.0,0.0,7.1547418,0.0,0.0,-0.27202817,0.0,1.1088903
0.32,0.0,0.0,7.4128704,0.0,0.0,-0.28709639,0.0,1.1088903
0.34,0.0,0.0,6.7047577,0.0,0.0,-0.24743479,0.0,1.1086187
0.36,0.0,0.0,4.2510123,0.0,0.0,-0.10814998,0.0,1.1086187
0.38,0.0,0.0,2.6175349,0.0,0.0,-0.014113476,0.0,1.1062225
0.4,0.0,0.0,1.6143787,0.0,0.0,0.044124312,0.0,1.1062225
0.42,0.0,0.0,1.3872681,0.0,0.0,0.058294601,0.0,1.1002265
0.44,0.0,0.0,1.4109435,0.0,0.0,0.057956367,0.0,1.1002265
0.46,0.0,0.0,1.9261959,0.0,0.0,0.029580594,0.0,1.0946112
0.48,0.0,0.0,1.9674717,0.0,0.0,0.02674604,0.0,1.0946112
0.5,0.0,0.0,0.075394779,0.0,0.0,0.13384761,0.0,1.0893881
0.52,0.0,0.0,-1.3189406,0.0,0.0,0.2125524,0.0,1.0893881
0.54,0.0,0.0,-2.5946915,0.0,0.0,0.28503686,0.0,1.0857176
0.56,0.0,0.0,-2.1047647,0.0,0.0,0.25533748,0.0,1.0857176
0.58,0.0,0.0,-1.1650777,0.0,0.0,0.20218275,0.0,1.0841795
0.6,0.0,0.0,-1.5359232,0.0,0.0,0.22359027,0.0,1.0841795
0.62,0.0,0.0,-2.0767088,0.0,0.0,0.25372318,0.0,1.0850681
0.64,0.0,0.0,-2.5474544,0.0,0.0,0.28027651,0.0,1.0850681
0.66,0.0,0.0,-3.1347558,0.0,0.0,0.31431879,0.0,1.0866373
0.68,0.0,0.0,-2.9627395,0.0,0.0,0.30515103,0.0,1.0866373
0.7,0.0,0.0,-3.0161803,0.0,0.0,0.30807593,0.0,1.0882962
0.72,0.0,0.0,-4.2622433,0.0,0.0,0.38017246,0.0,1.0882962
0.74,0.0,0.0,-6.2032585,0.0,0.0,0.49182035,0.0,1.0897481
0.76,0.0,0.0,-8.8982849,0.0,0.0,0.64565332,0.0,1.0897481
0.78,0.0,0.0,-8.9352713,0.0,0.0,0.64776993,0.0,1.0896668
0.8,0.0,0.0,-7.1463504,0.0,0.0,0.5449316,0.0,1.0896668
0.82,0.0,0.0,-5.5196552,0.0,0.0,0.45034085,0.0,1.0887861
0.84,0.0,0.0,-4.1938372,0.0,0.0,0.37278231,0.0,1.0887861
0.86,0.0,0.0,-1.9803623,0.0,0.0,0.24548806,0.0,1.0858272
0.88,0.0,0.0,-0.13677281,0.0,0.0,0.13837521,0.0,1.0858272
0.9,0.0,0.0,1.0696341,0.0,0.0,0.067353802,0.0,1.0796964
0.92,0.0,0.0,2.2184105,0.0,0.0,-0.0010440648,0.0,1.0796964
0.94,0.0,0.0,2.5903049,0.0,0.0,-0.024771503,0.0,1.0718753
0.96,0.0,0.0,1.6364748,0.0,0.0,0.027324389,0.0,1.0718753
0.98,0.0,0.0,-0.014799982,0.0,0.0,0.12355816,0.0,1.0635709
1.0,0.0,0.0,-0.21909344,0.0,0.0,0.13948443,0.0,1.0635709
1.02,0.0,0.0,0.48188293,0.0,0.0,0.10261212,0.0,1.0576569
1.04,0.0,0.0,0.27568287,0.0,0.0,0.11611798,0.0,1.0576569
1.06,0.0,0.0,-0.2864126,0.0,0.0,0.14918682,0.0,1.0550652
1.08,0.0,0.0,-1.619224,0.0,0.0,0.22495176,0.0,1.0550652
1.1,0.0,0.0,-3.0143168,0.0,0.0,0.30710393,0.0,1.0562754
1.12,0.0,0.0,-3.1991515,0.0,0.0,0.31944209,0.0,1.0562754
1.14,0.0,0.0,-4.3219953,0.0,0.0,0.38322285,0.0,1.0591464
1.16,0.0,0.0,-5.5852823,0.0,0.0,0.45842189,0.0,1.0591464
1.18,0.0,0.0,-5.1472588,0.0,0.0,0.43642931,0.0,1.0624529
1.2,0.0,0.0,-3.1511357,0.0,0.0,0.32381047,0.0,1.0624529
1.22,0.0,0.0,-1.4992974,0.0,0.0,0.22929099,0.0,1.0666404
1.24,0.0,0.0,-1.0098453,0.0,0.0,0.20152509,0.0,1.0666404
1.26,0.0,0.0,-1.6113166,0.0,0.0,0.2353161,0.0,1.0703927
1.28,0.0,0.0,-2.4238901,0.0,0.0,0.2836268,0.0,1.0703927
1.3,0.0,0.0,-2.7564194,0.0,0.0,0.30436918,0.0,1.0734326
1.32,0.0,0.0,-2.2659507,0.0,0.0,0.27732187,0.0,1.0734326
1.34,0.0,0.0,-2.1966126,0.0,0.0,0.27395074,0.0,1.073105
1.36,0.0,0.0,-3.2512445,0.0,0.0,0.33412693,0.0,1.073105
1.38,0.0,0.0,-4.5274,0.0,0.0,0.40668443,0.0,1.0731925
1.4,0.0,0.0,-5.1140361,0.0,0.0,0.44022141,0.0,1.0731925
1.42,0.0,0.0,-5.0318928,0.0,0.0,0.43608702,0.0,1.0716811
1.44,0.0,0.0,-4.4587202,0.0,0.0,0.40335474,0.0,1.0716811
1.46,0.0,0.0,-4.3965163,0.0,0.0,0.39905455,0.0,1.0698899
1.48,0.0,0.0,-4.4285526,0.0,0.0,0.40055054,0.0,1.0698899
1.5,0.0,0.0,-3.5946803,0.0,0.0,0.35299439,0.0,1.0678933
1.52,0.0,0.0,-1.9027706,0.0,0.0,0.25556294,0.0,1.0678933
1.54,0.0,0.0,-1.4941504,0.0,0.0,0.22914827,0.0,1.0676427
1.56,0.0,0.0,-0.966286,0.0,0.0,0.19740984,0.0,1.0676427
1.58,0.0,0.0,0.33269572,0.0,0.0,0.12326413,0.0,1.0674601
1.6,0.0,0.0,1.069617,0.0,0.0,0.080221135,0.0,1.0674601
1.62,0.0,0.0,0.9444716,0.0,0.0,0.086084746,0.0,1.0687298
1.64,0.0,0.0,2.0626814,0.0,0.0,0.021216151,0.0,1.0687298
1.66,0.0,0.0,2.3899481,0.0,0.0,0.00070059218,0.0,1.0709063
1.68,0.0,0.0,1.5842845,0.0,0.0,0.046916147,0.0,1.0709063
1.7,0.0,0.0,0.02239576,0.0,0.0,0.13724395,0.0,1.0726027
1.72,0.0,0.0,-0.90243399,0.0,0.0,0.18964464,0.0,1.0726027
1.74,0.0,0.0,-1.6632557,0.0,0.0,0.23243328,0.0,1.0729834
1.76,0.0,0.0,-2.0307345,0.0,0.0,0.25276114,0.0,1.0729834
1.78,0.0,0.0,-1.5935572,0.0,0.0,0.22789121,0.0,1.0743974
1.8,0.0,0.0,0.55517137,0.0,0.0,0.10812031,0.0,1.0743974
1.82,0.0,0.0,1.8751493,0.0,0.0,0.034683787,0.0,1.0771273
1.84,0.0,0.0,0.22194056,0.0,0.0,0.12481898,0.0,1.0771273
1.86,0.0,0.0,-1.4159397,0.0,0.0,0.21569666,0.0,1.078263
1.88,0.0,0.0,0.024829268,0.0,0.0,0.13561815,0.0,1.078263
1.9,0.0,0.0,0.83920705,0.0,0.0,0.094326453,0.0,1.0773547
1.92,0.0,0.0,0.43604386,0.0,0.0,0.11893989,0.0,1.0773547
1.94,0.0,0.0,0.14411885,0.0,0.0,0.13506454,0.0,1.0776229
1.96,0.0,0.0,-0.46986657,0.0,0.0,0.169575,0.0,1.0776229
1.98,0.0,0.0,-0.19668257,0.0,0.0,0.15288699,0.0,1.078401
2.0,0.0,0.0,1.0150781,0.0,0.0,0.084199049,0.0,1.078401
2.02,0.0,0.0,2.6968801,0.0,0.0,-0.011916786,0.0,1.0798986
2.04,0.0,0.0,3.6252785,0.0,0.0,-0.066092854,0.0,1.0798986
2.06,0.0,0.0,3.8646455,0.0,0.0,-0.079180481,0.0,1.0814497
2.08,0.0,0.0,3.7095671,0.0,0.0,-0.071053112,0.0,1.0814497
2.1,0.0,0.0,4.4562979,0.0,0.0,-0.11476461,0.0,1.0822726
2.12,0.0,0.0,5.4462757,0.0,0.0,-0.1736509,0.0,1.0822726
2.14,0.0,0.0,5.0947223,0.0,0.0,-0.15484606,0.0,1.0841448
2.16,0.0,0.0,2.6905651,0.0,0.0,-0.016566472,0.0,1.0841448
2.18,0.0,0.0,2.7030935,0.0,0.0,-0.013911422,0.0,1.0884126
2.2,0.0,0.0,2.8525953,0.0,0.0,-0.019560064,0.0,1.0884126
2.22,0.0,0.0,2.6134837,0.0,0.0,-0.0093675686,0.0,1.0943818
2.24,0.0,0.0,3.1109078,0.0,0.0,-0.039824297,0.0,1.0943818
2.26,0.0,0.0,4.7835073,0.0,0.0,-0.13422437,0.0,1.0988326
2.28,0.0,0.0,4.8540425,0.0,0.0,-0.13831747,0.0,1.0988326
