time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,-14.825907,0.0,0.0,0.96396436,0.0,-0.55261527,1.1112179
0.02,0.0,0.0,-15.827669,0.0,0.0,1.0222016,0.0,-0.59606965,1.1092798
0.04,0.0,0.0,-17.191029,0.0,0.0,1.1007849,0.0,-0.65554718,1.1092798
0.06,0.0,0.0,-18.340288,0.0,0.0,1.1661032,0.0,-0.70623266,1.1042025
0.08,0.0,0.0,-19.693726,0.0,0.0,1.2416359,0.0,-0.76705636,1.1042025
0.1,0.0,0.0,-18.678389,0.0,0.0,1.187016,0.0,-0.71959467,1.0955489
0.12,0.0,0.0,-17.412544,0.0,0.0,1.1170551,0.0,-0.66212945,1.0955489
0.14,0.0,0.0,-18.59642,0.0,0.0,1.1832911,0.0,-0.71502859,1.0860502
0.16,0.0,0.0,-20.580408,0.0,0.0,1.2932978,0.0,-0.80463086,1.0860502
0.18,0.0,0.0,-21.139656,0.0,0.0,1.3257502,0.0,-0.82895515,1.0771272
0.2,0.0,0.0,-21.352757,0.0,0.0,1.3391626,0.0,-0.83755068,1.0771272
0.22,0.0,0.0,-22.039211,0.0,0.0,1.3785824,0.0,-0.86746755,1.0673683
0.24,0.0,0.0,-22.390587,0.0,0.0,1.395932,0.0,-0.88469368,1.0673683
0.26,0.0,0.0,-23.262617,0.0,0.0,1.4444172,0.0,-0.9237838,1.0608255
0.28,0.0,0.0,-23.638567,0.0,0.0,1.4621404,0.0,-0.9430938,1.0608255
0.3,0.0,0.0,-23.21356,0.0,0.0,1.4374311,0.0,-0.92477323,1.0571905
0.32,0.0,0.0,-23.059479,0.0,0.0,1.4328254,0.0,-0.91489245,1.0571905
0.34,0.0,0.0,-20.54295,0.0,0.0,1.2896784,0.0,-0.80345822,1.0577728
0.36,0.0,0.0,-17.707388,0.0,0.0,1.1290081,0.0,-0.67764932,1.0577728
0.38,0.0,0.0,-15.672073,0.0,0.0,1.0116616,0.0,-0.58889164,1.0608552
0.4,0.0,0.0,-14.904636,0.0,0.0,0.96694399,0.0,-0.55574725,1.0608552
0.42,0.0,0.0,-15.415576,0.0,0.0,0.99783462,0.0,-0.57696572,1.0657067
0.44,0.0,0.0,-15.298388,0.0,0.0,0.99380034,0.0,-0.56987992,1.0657067
0.46,0.0,0.0,-15.316541,0.0,0.0,0.99783354,0.0,-0.56854793,1.070606
0.48,0.0,0.0,-15.391362,0.0,0.0,1.0036313,0.0,-0.57058134,1.070606
0.5,0.0,0.0,-14.447825,0.0,0.0,0.95303286,0.0,-0.52650274,1.076193
0.52,0.0,0.0,-15.208612,0.0,0.0,0.99790032,0.0,-0.55874361,1.076193
0.54,0.0,0.0,-14.934007,0.0,0.0,0.98050696,0.0,-0.54777945,1.0825626
0.56,0.0,0.0,-10.772645,0.0,0.0,0.74320004,0.0,-0.36402934,1.0825626
0.58,0.0,0.0,-7.1424642,0.0,0.0,0.54003679,0.0,-0.2009193,1.0869743
0.6,0.0,0.0,-10.180678,0.0,0.0,0.71385263,0.0,-0.33454767,1.0869743
0.62,0.0,0.0,-13.242649,0.0,0.0,0.88827,0.0,-0.46998328,1.0882202
0.64,0.0,0.0,-13.846775,0.0,0.0,0.92209736,0.0,-0.4970261,1.0882202
0.66,0.0,0.0,-13.537682,0.0,0.0,0.90550144,0.0,-0.48258781,1.0874887
0.68,0.0,0.0,-13.292879,0.0,0.0,0.8937213,0.0,-0.47002335,1.0874887
0.7,0.0,0.0,-13.474864,0.0,0.0,0.9075957,0.0,-0.4753042,1.0858532
0.72,0.0,0.0,-12.835269,0.0,0.0,0.87478912,0.0,-0.4443267,1.0858532
0.74,0.0,0.0,-13.483992,0.0,0.0,0.91395403,0.0,-0.47121272,1.0838429
0.76,0.0,0.0,-12.59723,0.0,0.0,0.86217356,0.0,-0.43282035,1.0838429
0.78,0.0,0.0,-9.5607738,0.0,0.0,0.68596325,0.0,-0.30095596,1.0821172
0.8,0.0,0.0,-7.5351591,0.0,0.0,0.56951255,0.0,-0.21235222,1.0821172
0.82,0.0,0.0,-7.0271297,0.0,0.0,0.53631715,0.0,-0.19310272,1.0806754
0.84,0.0,0.0,-6.2886992,0.0,0.0,0.48804642,0.0,-0.16507982,1.0806754
0.86,0.0,0.0,-3.8245463,0.0,0.0,0.34446991,0.0,-0.058659159,1.0779492
0.88,0.0,0.0,-1.7984133,0.0,0.0,0.23208917,0.0,0.032835506,1.0779492
0.9,0.0,0.0,-4.1690164,0.0,0.0,0.3688301,0.0,-0.070628983,1.0736554
0.92,0.0,0.0,-6.8896441,0.0,0.0,0.52036891,0.0,-0.19344507,1.0736554
0.94,0.0,0.0,-9.2530613,0.0,0.0,0.65413255,0.0,-0.29832469,1.0698029
