time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,9.8018045,0.0,0.0,-0.44051623,0.0,0.53387546,1.1028787
0.02,0.0,0.0,10.610109,0.0,0.0,-0.48521643,0.0,0.5704469,1.1048262
0.04,0.0,0.0,10.619472,0.0,0.0,-0.48357897,0.0,0.57252698,1.1048262
0.06,0.0,0.0,8.9244728,0.0,0.0,-0.38698853,0.0,0.49782313,1.1076554
0.08,0.0,0.0,7.3697777,0.0,0.0,-0.29880197,0.0,0.42896409,1.1076554
0.1,0.0,0.0,5.9905167,0.0,0.0,-0.2204765,0.0,0.36803066,1.1098282
0.12,0.0,0.0,3.6689415,0.0,0.0,-0.08595241,0.0,0.26741839,1.1098282
0.14,0.0,0.0,0.93990135,0.0,0.0,0.072975233,0.0,0.14972657,1.1083546
0.16,0.0,0.0,-1.0463179,0.0,0.0,0.18818404,0.0,0.063651724,1.1083546
0.18,0.0,0.0,-3.4715188,0.0,0.0,0.32770701,0.0,-0.042168591,1.107457
0.2,0.0,0.0,-4.9625111,0.0,0.0,0.41371002,0.0,-0.10705271,1.107457
0.22,0.0,0.0,-6.4143558,0.0,0.0,0.49495531,0.0,-0.17219041,1.1057816
0.24,0.0,0.0,-7.7477622,0.0,0.0,0.56854677,0.0,-0.23282044,1.1057816
0.26,0.0,0.0,-7.775877,0.0,0.0,0.57171661,0.0,-0.23295712,1.1053414
0.28,0.0,0.0,-7.9875813,0.0,0.0,0.5856173,0.0,-0.24099296,1.1053414
0.3,0.0,0.0,-9.3536291,0.0,0.0,0.66324198,0.0,-0.30152684,1.1046751
0.32,0.0,0.0,-10.218766,0.0,0.0,0.71102395,0.0,-0.34102502,1.1046751
0.34,0.0,0.0,-9.8967676,0.0,0.0,0.69186446,0.0,-0.3275468,1.1050278
0.36,0.0,0.0,-9.3640795,0.0,0.0,0.65994668,0.0,-0.30530125,1.1050278
0.38,0.0,0.0,-8.3179102,0.0,0.0,0.59732067,0.0,-0.26155424,1.1055938
0.4,0.0,0.0,-6.9621377,0.0,0.0,0.51685601,0.0,-0.20445716,1.1055938
0.42,0.0,0.0,-5.448287,0.0,0.0,0.42719005,0.0,-0.14051007,1.1070538
0.44,0.0,0.0,-3.8078396,0.0,0.0,0.33243197,0.0,-0.069290789,1.1070538
0.46,0.0,0.0,-2.4233391,0.0,0.0,0.25386849,0.0,-0.0079818369,1.1081356
0.48,0.0,0.0,-0.66309762,0.0,0.0,0.15390254,0.0,0.069913974,1.1081356
0.5,0.0,0.0,0.11172679,0.0,0.0,0.11048921,0.0,0.10479675,1.1086932
0.52,0.0,0.0,-0.53186429,0.0,0.0,0.14652578,0.0,0.076118556,1.1086932
0.54,0.0,0.0,-1.5555607,0.0,0.0,0.20553498,0.0,0.031549847,1.1093994
0.56,0.0,0.0,-0.48062712,0.0,0.0,0.14382504,0.0,0.078598561,1.1093994
0.58,0.0,0.0,2.3666356,0.0,0.0,-0.019727005,0.0,0.203222,1.1086618
0.6,0.0,0.0,4.2349596,0.0,0.0,-0.12505898,0.0,0.28640708,1.1086618
0.62,0.0,0.0,5.3903899,0.0,0.0,-0.18969414,0.0,0.33820331,1.1066719
0.64,0.0,0.0,5.2640548,0.0,0.0,-0.18340972,0.0,0.33194217,1.1066719
0.66,0.0,0.0,4.4689183,0.0,0.0,-0.13915531,0.0,0.29618923,1.1043471
0.68,0.0,0.0,3.7202401,0.0,0.0,-0.099157658,0.0,0.26110372,1.1043471
0.7,0.0,0.0,3.9295382,0.0,0.0,-0.11137979,0.0,0.27017017,1.1031632
0.72,0.0,0.0,4.6068287,0.0,0.0,-0.14885201,0.0,0.30108769,1.1031632
0.74,0.0,0.0,4.3092461,0.0,0.0,-0.1311419,0.0,0.28882169,1.1062974
