time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,-30.555492,0.0,0.0,1.8673587,0.0,-1.2420689,1.10693
0.02,0.0,0.0,-33.54895,0.0,0.0,2.0402151,0.0,-1.3724717,1.1080503
0.04,0.0,0.0,-33.903194,0.0,0.0,2.06018,0.0,-1.3882221,1.1080503
0.06,0.0,0.0,-32.561962,0.0,0.0,1.9889873,0.0,-1.3258421,1.1089048
0.08,0.0,0.0,-32.59063,0.0,0.0,1.9933518,0.0,-1.3252046,1.1089048
0.1,0.0,0.0,-35.112759,0.0,0.0,2.1427013,0.0,-1.4325795,1.1099485
0.12,0.0,0.0,-36.578442,0.0,0.0,2.2304103,0.0,-1.4941791,1.1099485
0.14,0.0,0.0,-36.418682,0.0,0.0,2.2192675,0.0,-1.4884392,1.1111375
0.16,0.0,0.0,-34.762936,0.0,0.0,2.1229547,0.0,-1.4167062,1.1111375
0.18,0.0,0.0,-32.802597,0.0,0.0,2.0194839,0.0,-1.3244103,1.1116251
0.2,0.0,0.0,-29.792704,0.0,0.0,1.8512801,0.0,-1.1891791,1.1116251
0.22,0.0,0.0,-27.021063,0.0,0.0,1.6875359,0.0,-1.0711425,1.1132768
0.24,0.0,0.0,-27.351728,0.0,0.0,1.7077696,0.0,-1.0846831,1.1132768
0.26,0.0,0.0,-27.954096,0.0,0.0,1.7458677,0.0,-1.1084102,1.1149198
0.28,0.0,0.0,-27.92127,0.0,0.0,1.7373962,0.0,-1.1111769,1.1149198
0.3,0.0,0.0,-27.597908,0.0,0.0,1.7139409,0.0,-1.1002896,1.1157746
0.32,0.0,0.0,-29.332489,0.0,0.0,1.8079152,0.0,-1.1803423,1.1157746
0.34,0.0,0.0,-29.254738,0.0,0.0,1.7950892,0.0,-1.1829238,1.1154796
0.36,0.0,0.0,-27.980047,0.0,0.0,1.7171039,0.0,-1.1302246,1.1154796
0.38,0.0,0.0,-24.351709,0.0,0.0,1.5045521,0.0,-0.97413183,1.1133877
0.4,0.0,0.0,-27.433876,0.0,0.0,1.674233,0.0,-1.1143844,1.1133877
0.42,0.0,0.0,-29.34642,0.0,0.0,1.7843485,0.0,-1.1978608,1.1104363
0.44,0.0,0.0,-24.938868,0.0,0.0,1.5305159,0.0,-1.0051265,1.1104363
0.46,0.0,0.0,-25.359903,0.0,0.0,1.551722,0.0,-1.0254953,1.1066504
0.48,0.0,0.0,-28.851292,0.0,0.0,1.7475583,0.0,-1.1818778,1.1066504
0.5,0.0,0.0,-30.064545,0.0,0.0,1.820269,0.0,-1.2331004,1.1023782
0.52,0.0,0.0,-29.800756,0.0,0.0,1.8069834,0.0,-1.2205074,1.1023782
0.54,0.0,0.0,-29.846323,0.0,0.0,1.8108898,0.0,-1.2215577,1.0974571
0.56,0.0,0.0,-26.776299,0.0,0.0,1.6421967,0.0,-1.0815166,1.0974571
