time,s0,s1,s2,s3,s4,s5,s6,s7,s8
0.0,0.0,0.0,-59.250069,0.0,0.0,3.491322,0.0,-2.5230894,1.0915265
0.02,0.0,0.0,-61.5756,0.0,0.0,3.6491422,0.0,-2.6099338,1.0931157
0.04,0.0,0.0,-57.344025,0.0,0.0,3.4273013,0.0,-2.4103398,1.0931157
0.06,0.0,0.0,-53.867455,0.0,0.0,3.2354591,0.0,-2.2526792,1.0954697
0.08,0.0,0.0,-51.244556,0.0,0.0,3.0841339,0.0,-2.1385554,1.0954697
0.1,0.0,0.0,-44.082973,0.0,0.0,2.6724875,0.0,-1.8243232,1.0990713
0.12,0.0,0.0,-43.225616,0.0,0.0,2.6213321,0.0,-1.7875397,1.0990713
0.14,0.0,0.0,-42.720387,0.0,0.0,2.5815466,0.0,-1.7721716,1.1020761
0.16,0.0,0.0,-46.240986,0.0,0.0,2.7699886,0.0,-1.9359182,1.1020761
0.18,0.0,0.0,-51.2677,0.0,0.0,3.0499048,0.0,-2.1623247,1.1047951
0.2,0.0,0.0,-49.619419,0.0,0.0,2.9503932,0.0,-2.0929358,1.1047951
0.22,0.0,0.0,-39.079849,0.0,0.0,2.3402451,0.0,-1.6334084,1.1062912
0.24,0.0,0.0,-31.821007,0.0,0.0,1.9188589,0.0,-1.3174232,1.1062912
0.26,0.0,0.0,-33.799652,0.0,0.0,2.0184716,0.0,-1.4130513,1.1063489
0.28,0.0,0.0,-32.168949,0.0,0.0,1.9117745,0.0,-1.3496939,1.1063489
0.3,0.0,0.0,-30.809155,0.0,0.0,1.8341612,0.0,-1.2893399,1.1037378
0.32,0.0,0.0,-24.145563,0.0,0.0,1.4583658,0.0,-0.99180815,1.1037378
0.34,0.0,0.0,-22.554935,0.0,0.0,1.3689919,0.0,-0.92029996,1.0990422
0.36,0.0,0.0,-18.63299,0.0,0.0,1.1497755,0.0,-0.7441831,1.0990422
0.38,0.0,0.0,-14.171254,0.0,0.0,0.89318526,0.0,-0.54838839,1.0939604
0.4,0.0,0.0,-12.128498,0.0,0.0,0.77840334,0.0,-0.45697227,1.0939604
0.42,0.0,0.0,-9.0876179,0.0,0.0,0.61485454,0.0,-0.31575238,1.0889883
0.44,0.0,0.0,-1.2505071,0.0,0.0,0.1749874,0.0,0.035627966,1.0889883
0.46,0.0,0.0,4.6607242,0.0,0.0,-0.1566496,0.0,0.30074261,1.0872281
0.48,0.0,0.0,8.5975599,0.0,0.0,-0.37519647,0.0,0.47881697,1.0872281
0.5,0.0,0.0,7.7987261,0.0,0.0,-0.32829912,0.0,0.44456248,1.0863383
0.52,0.0,0.0,7.7918434,0.0,0.0,-0.32533843,0.0,0.44589858,1.0863383
0.54,0.0,0.0,7.930892,0.0,0.0,-0.33300523,0.0,0.45198085,1.0866166
0.56,0.0,0.0,6.8032837,0.0,0.0,-0.26978044,0.0,0.40142037,1.0866166
0.58,0.0,0.0,3.9942694,0.0,0.0,-0.10821289,0.0,0.27810183,1.0884753
0.6,0.0,0.0,-3.8228209,0.0,0.0,0.35238248,0.0,-0.057754126,1.0884753
0.62,0.0,0.0,-9.6496906,0.0,0.0,0.68839165,0.0,-0.31299734,1.0894505
0.64,0.0,0.0,-15.008758,0.0,0.0,0.98609692,0.0,-0.55484831,1.0894505
0.66,0.0,0.0,-14.481435,0.0,0.0,0.93009854,0.0,-0.54835723,1.0906935
0.68,0.0,0.0,-16.650305,0.0,0.0,1.051082,0.0,-0.64576236,1.0906935
0.7,0.0,0.0,-20.036959,0.0,0.0,1.2527571,0.0,-0.78961018,1.0904057
0.72,0.0,0.0,-19.238529,0.0,0.0,1.2022519,0.0,-0.75780925,1.0904057
0.74,0.0,0.0,-18.188108,0.0,0.0,1.1272276,0.0,-0.72154269,1.0893062
0.76,0.0,0.0,-21.328306,0.0,0.0,1.3120905,0.0,-0.85609032,1.0893062
0.78,0.0,0.0,-14.677944,0.0,0.0,0.94254965,0.0,-0.55601051,1.0869845
0.8,0.0,0.0,-13.722437,0.0,0.0,0.89133698,0.0,-0.51135042,1.0869845
0.82,0.0,0.0,-14.776947,0.0,0.0,0.96736438,0.0,-0.54789059,1.0855231
0.84,0.0,0.0,-10.450998,0.0,0.0,0.7158642,0.0,-0.3592494,1.0855231
0.86,0.0,0.0,-5.117548,0.0,0.0,0.40001912,0.0,-0.13149522,1.0830923
0.88,0.0,0.0,-5.3722181,0.0,0.0,0.41952009,0.0,-0.139693,1.0830923
0.9,0.0,0.0,-11.342318,0.0,0.0,0.76618946,0.0,-0.40025047,1.0807054
0.92,0.0,0.0,-16.592909,0.0,0.0,1.0500017,0.0,-0.64293501,1.0807054
0.94,0.0,0.0,-19.704399,0.0,0.0,1.2265724,0.0,-0.78098805,1.0776157
0.96,0.0,0.0,-23.207767,0.0,0.0,1.4399716,0.0,-0.92717609,1.0776157
0.98,0.0,0.0,-29.387426,0.0,0.0,1.8069474,0.0,-1.1912304,1.0737343
1.0,0.0,0.0,-34.382797,0.0,0.0,2.1112374,0.0,-1.3992355,1.0737343
1.02,0.0,0.0,-39.966682,0.0,0.0,2.4481755,0.0,-1.6338409,1.0690444
1.04,0.0,0.0,-43.636143,0.0,0.0,2.6576331,0.0,-1.7962063,1.0690444
1.06,0.0,0.0,-46.450489,0.0,0.0,2.8032285,0.0,-1.9302867,1.0655193
1.08,0.0,0.0,-43.355831,0.0,0.0,2.61282,0.0,-1.8022462,1.0655193
1.1,0.0,0.0,-37.083378,0.0,0.0,2.2376319,0.0,-1.5359012,1.0629995
1.12,0.0,0.0,-30.023907,0.0,0.0,1.8302368,0.0,-1.2272792,1.0629995
1.14,0.0,0.0,-22.715305,0.0,0.0,1.4171411,0.0,-0.90239755,1.063363
1.16,0.0,0.0,-25.115742,0.0,0.0,1.5551698,0.0,-1.007914,1.063363
1.18,0.0,0.0,-23.980377,0.0,0.0,1.4953784,0.0,-0.95476128,1.0653956
1.2,0.0,0.0,-18.891626,0.0,0.0,1.2141068,0.0,-0.72427298,1.0653956
1.22,0.0,0.0,-21.414135,0.0,0.0,1.3612453,0.0,-0.83374674,1.0693002
1.24,0.0,0.0,-26.840212,0.0,0.0,1.6615064,0.0,-1.0795785,1.0693002
1.26,0.0,0.0,-28.742865,0.0,0.0,1.7502883,0.0,-1.1763094,1.0746685
1.28,0.0,0.0,-25.036537,0.0,0.0,1.5263682,0.0,-1.0203751,1.0746685
1.3,0.0,0.0,-22.595922,0.0,0.0,1.3900704,0.0,-0.91058781,1.0803816
1.32,0.0,0.0,-8.2767305,0.0,0.0,0.57559037,0.0,-0.27595165,1.0803816
1.34,0.0,0.0,3.687773,0.0,0.0,-0.1074121,0.0,0.25234101,1.0855113
1.36,0.0,0.0,0.96962583,0.0,0.0,0.038200851,0.0,0.12554333,1.0855113
1.38,0.0,0.0,-5.5254378,0.0,0.0,0.40625588,0.0,-0.16295761,1.0904517
1.4,0.0,0.0,-14.230844,0.0,0.0,0.90992082,0.0,-0.54241282,1.0904517
1.42,0.0,0.0,-21.290588,0.0,0.0,1.3268665,0.0,-0.84568524,1.097404
1.44,0.0,0.0,-22.468603,0.0,0.0,1.3836309,0.0,-0.90448709,1.097404
1.46,0.0,0.0,-20.180214,0.0,0.0,1.2274186,0.0,-0.8208568,1.1051809
1.48,0.0,0.0,-32.581139,0.0,0.0,1.9237463,0.0,-1.3760416,1.1051809
1.5,0.0,0.0,-59.513126,0.0,0.0,3.504412,0.0,-2.5371469,1.1130944
1.52,0.0,0.0,-71.403267,0.0,0.0,4.2091596,0.0,-3.0457728,1.1130944
1.54,0.0,0.0,-74.852058,0.0,0.0,4.4094334,0.0,-3.1953512,1.1171225
1.56,0.0,0.0,-61.193985,0.0,0.0,3.6053863,0.0,-2.6071602,1.1171225
1.58,0.0,0.0,-33.470028,0.0,0.0,1.9886595,0.0,-1.405721,1.1180985
1.6,0.0,0.0,-16.441696,0.0,0.0,1.0178367,0.0,-0.65288849,1.1180985
1.62,0.0,0.0,-14.92465,0.0,0.0,0.94909856,0.0,-0.57368193,1.1166232
1.64,0.0,0.0,-7.0342245,0.0,0.0,0.50634135,0.0,-0.21963063,1.1166232
1.66,0.0,0.0,5.5524201,0.0,0.0,-0.20682687,0.0,0.33996503,1.1130729
1.68,0.0,0.0,3.3213539,0.0,0.0,-0.085758873,0.0,0.23699824,1.1130729
1.7,0.0,0.0,-6.0223646,0.0,0.0,0.45738144,0.0,-0.16903184,1.1085049
1.72,0.0,0.0,-12.426196,0.0,0.0,0.83568646,0.0,-0.44417117,1.1085049
1.74,0.0,0.0,-19.976625,0.0,0.0,1.2737518,0.0,-0.77367772,1.1026855
1.76,0.0,0.0,-30.281582,0.0,0.0,1.8535979,0.0,-1.2346521,1.1026855
1.78,0.0,0.0,-38.251678,0.0,0.0,2.2954227,0.0,-1.5946063,1.0953866
1.8,0.0,0.0,-43.997543,0.0,0.0,2.6275386,0.0,-1.8462531,1.0953866
1.82,0.0,0.0,-46.154057,0.0,0.0,2.7776062,0.0,-1.9252748,1.0893728
1.84,0.0,0.0,-43.866856,0.0,0.0,2.6573736,0.0,-1.817628,1.0893728
1.86,0.0,0.0,-48.318775,0.0,0.0,2.9043088,0.0,-2.0188905,1.0835158
1.88,0.0,0.0,-52.00156,0.0,0.0,3.0911604,0.0,-2.1957973,1.0835158
1.9,0.0,0.0,-50.049465,0.0,0.0,2.9462913,0.0,-2.130896,1.0777187
1.92,0.0,0.0,-39.64196,0.0,0.0,2.3469354,0.0,-1.6750668,1.0777187
1.94,0.0,0.0,-31.351215,0.0,0.0,1.8919878,0.0,-1.2970572,1.0722557
1.96,0.0,0.0,-19.3109,0.0,0.0,1.2089292,0.0,-0.7622318,1.0722557
1.98,0.0,0.0,-16.959963,0.0,0.0,1.0589703,0.0,-0.6683297,1.068686
2.0,0.0,0.0,-26.561098,0.0,0.0,1.604122,0.0,-1.0939356,1.068686
2.02,0.0,0.0,-42.12331,0.0,0.0,2.530875,0.0,-1.7558551,1.0663484
2.04,0.0,0.0,-49.934521,0.0,0.0,3.0032595,0.0,-2.0845209,1.0663484
2.06,0.0,0.0,-44.390129,0.0,0.0,2.7107158,0.0,-1.8241501,1.0638676
2.08,0.0,0.0,-39.7313,0.0,0.0,2.4423931,0.0,-1.6199025,1.0638676
2.1,0.0,0.0,-42.71751,0.0,0.0,2.5814303,0.0,-1.7720574,1.0621517
2.12,0.0,0.0,-42.370186,0.0,0.0,2.5179802,0.0,-1.7841736,1.0621517
2.14,0.0,0.0,-40.219677,0.0,0.0,2.4028835,0.0,-1.6841417,1.0581871
2.16,0.0,0.0,-48.182812,0.0,0.0,2.8636867,0.0,-2.0316941,1.0581871
2.18,0.0,0.0,-62.640148,0.0,0.0,3.6994549,0.0,-2.6633922,1.0552902
2.2,0.0,0.0,-72.342278,0.0,0.0,4.2722293,0.0,-3.0789577,1.0552902
2.22,0.0,0.0,-67.786987,0.0,0.0,4.016875,0.0,-2.8756364,1.0574332
2.24,0.0,0.0,-59.240173,0.0,0.0,3.4964082,0.0,-2.5190122,1.0574332
2.26,0.0,0.0,-55.856377,0.0,0.0,3.277247,0.0,-2.3872818,1.0641233
2.28,0.0,0.0,-61.076332,0.0,0.0,3.5972415,0.0,-2.6041437,1.0641233
2.3,0.0,0.0,-47.609821,0.0,0.0,2.8487076,0.0,-1.996926,1.0740515
2.32,0.0,0.0,-41.197601,0.0,0.0,2.4910085,0.0,-1.707445,1.0740515
2.34,0.0,0.0,-35.513874,0.0,0.0,2.1354019,0.0,-1.4757904,1.0853735
2.36,0.0,0.0,-26.573566,0.0,0.0,1.6362859,0.0,-1.0747897,1.0853735
2.38,0.0,0.0,-33.632824,0.0,0.0,2.0461322,0.0,-1.382535,1.0960718
2.4,0.0,0.0,-44.074421,0.0,0.0,2.6268279,0.0,-1.8531529,1.0960718
2.42,0.0,0.0,-38.474312,0.0,0.0,2.2742056,0.0,-1.6268114,1.1039546
2.44,0.0,0.0,-33.538662,0.0,0.0,2.0013498,0.0,-1.4028642,1.1039546
2.46,0.0,0.0,-33.657822,0.0,0.0,2.0219906,0.0,-1.3988668,1.1077131
2.48,0.0,0.0,-41.161678,0.0,0.0,2.4758601,0.0,-1.712932,1.1077131
2.5,0.0,0.0,-41.811672,0.0,0.0,2.509423,0.0,-1.7440139,1.1084152
2.52,0.0,0.0,-45.382679,0.0,0.0,2.6993425,0.0,-1.9113808,1.1084152
2.54,0.0,0.0,-58.526917,0.0,0.0,3.4461226,0.0,-2.4933152,1.1080319
2.56,0.0,0.0,-62.205086,0.0,0.0,3.6512002,0.0,-2.6584105,1.1080319
2.58,0.0,0.0,-55.114555,0.0,0.0,3.2287229,0.0,-2.356829,1.1083033
2.6,0.0,0.0,-54.564236,0.0,0.0,3.2399891,0.0,-2.3051263,1.1083033
2.62,0.0,0.0,-48.315887,0.0,0.0,2.9044978,0.0,-2.015568,1.1104448
2.64,0.0,0.0,-41.771961,0.0,0.0,2.5067696,0.0,-1.742099,1.1104448
2.66,0.0,0.0,-35.145809,0.0,0.0,2.0888031,0.0,-1.475885,1.1124439
2.68,0.0,0.0,-39.963985,0.0,0.0,2.3820153,0.0,-1.6774571,1.1124439
2.7,0.0,0.0,-39.217789,0.0,0.0,2.3478075,0.0,-1.6394284,1.1126693
2.72,0.0,0.0,-29.386948,0.0,0.0,1.7671431,0.0,-1.2182899,1.1126693
2.74,0.0,0.0,-26.235418,0.0,0.0,1.5725967,0.0,-1.0883993,1.1108203
